GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
10864	0.1253	0.00181	0.3024	-3.1197648	-0.9435192	13.35	SLC22A7	solute carrier family 22 member 7
157983	0.1253	0.00179	0.3004	3.1233937	0.9382477	30.56	DOCK8-AS1	DOCK8 antisense RNA 1
414224	0.1253	0.0018	0.3298	-3.1215626	-1.0293483	95.52	AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene
3071	0.1253	0.00176	0.3302	3.1281558	1.0330427	461.9	NCKAP1L	NCK associated protein 1 like
105371374	0.1253	0.00182	0.2517	-3.1183502	-0.7849467	28.68	ATP2C2-AS1	ATP2C2 antisense RNA 1
3394	0.1253	0.00177	0.4088	3.1255578	1.2777495	235.04	IRF8	interferon regulatory factor 8
256126	0.1253	0.00182	0.2175	-3.1184914	-0.6782747	77.25	SYCE2	synaptonemal complex central element protein 2
5886	0.1253	0.00182	0.0984	3.1177765	0.3066538	1239.81	RAD23A	RAD23 homolog A, nucleotide excision repair protein
100996598	0.1253	0.00175	0.3073	-3.1300188	-0.9617928	21.62	LOC100996598	uncharacterized LOC100996598
3109	0.126	0.00185	0.388	3.1128095	1.2076168	141.43	HLA-DMB	major histocompatibility complex, class II, DM beta
5380	0.126	0.00185	0.152	-3.1125643	-0.4730906	114.54	PMS2P2	PMS1 homolog 2, mismatch repair system component pseudogene 2
65993	0.126	0.00185	0.0966	3.1127451	0.300639	433.6	MRPS34	mitochondrial ribosomal protein S34
107983955	0.126	0.00184	0.3638	-3.1151774	-1.1333828	33.87	ELOA3CP	elongin A3 family member C, pseudogene
83478	0.12629	0.00188	0.2295	3.109242	0.7136039	435.07	ARHGAP24	Rho GTPase activating protein 24
57117	0.12629	0.00186	0.0889	3.1109524	0.2766138	290.85	INTS12	integrator complex subunit 12
5155	0.12629	0.00187	0.1292	3.1093823	0.4016459	255.91	PDGFB	platelet derived growth factor subunit B
26509	0.12706	0.00191	0.2005	3.1043773	0.6224708	392.53	MYOF	myoferlin
100506157	0.12706	0.0019	0.1546	-3.1052589	-0.4802165	65.58	SRP54-AS1	SRP54 antisense RNA 1
728310	0.12706	0.0019	0.2471	-3.1049339	-0.7672505	45.52	GOLGA6L7	golgin A6 family like 7
100507373	0.12706	0.00191	0.1186	-3.1039651	-0.3681203	290.28	ADGRL1-AS1	ADGRL1 antisense RNA 1
92815	0.12756	0.00193	0.2348	3.1010721	0.7280522	66.28	H2AC25	H2A clustered histone 25
729689	0.12756	0.00192	0.279	-3.10193	-0.865315	61.77	FAM90A2P	family with sequence similarity 90 member A2, pseudogene
112268058	0.12881	0.00195	0.1235	-3.0973162	-0.3825151	99.95	LOC112268058	
834	0.12946	0.00197	0.2452	3.094973	0.758787	75.62	CASP1	caspase 1
5427	0.13118	0.002	0.1765	-3.0901808	-0.5455507	89.39	POLE2	DNA polymerase epsilon 2, accessory subunit
100287329	0.13145	0.00202	0.238	-3.0879198	-0.7350423	32.46	LOC100287329	uncharacterized LOC100287329
285955	0.13145	0.00203	0.2576	-3.0851551	-0.7946464	242.26	SPDYE1	speedy/RINGO cell cycle regulator family member E1
105180391	0.13145	0.00204	0.227	-3.084461	-0.7000206	45.8	SPDYE15	speedy/RINGO cell cycle regulator family member E15
107987015	0.13145	0.00203	0.3184	-3.0851048	-0.9824271	46.12	LOC107987015	
54862	0.13145	0.00204	0.0996	-3.0848342	-0.3071352	725.06	CC2D1A	coiled-coil and C2 domain containing 1A
163183	0.13145	0.00203	0.2625	-3.085827	-0.8099789	14.83	SYNE4	spectrin repeat containing nuclear envelope family member 4
101929828	0.13146	0.00205	0.276	-3.0836069	-0.8511729	13.4	LOC101929828	uncharacterized LOC101929828
105373976	0.13199	0.00208	0.2777	-3.0791841	-0.8551483	14.96	LOC105373976	
105375580	0.13199	0.00208	0.3815	-3.0790484	-1.1745342	16.01	LOC105375580	uncharacterized LOC105375580
112268172	0.13199	0.00207	0.2763	-3.0802136	-0.8512066	18.73	LOC112268172	uncharacterized LOC112268172
23117	0.13199	0.00207	0.2791	-3.0806685	-0.8596941	876.45	NPIPB3	nuclear pore complex interacting protein family member B3
1398	0.13367	0.00212	0.0934	3.0730162	0.2870196	1763.87	CRK	CRK proto-oncogene, adaptor protein
100506195	0.13367	0.00212	0.3358	-3.0727784	-1.0317336	27.09	LARGE-AS1	LARGE antisense RNA 1
347344	0.13367	0.00211	0.1048	-3.0738231	-0.3221864	907.62	ZNF81	zinc finger protein 81
10670	0.13378	0.00213	0.1464	3.0708893	0.4494811	1481.01	RRAGA	Ras related GTP binding A
89790	0.13378	0.00213	0.4103	3.0713441	1.2603087	199.08	SIGLEC10	sialic acid binding Ig like lectin 10
222967	0.13425	0.00215	0.2147	-3.0690139	-0.6588693	24.22	RSPH10B	radial spoke head 10 homolog B
105371427	0.13461	0.00217	0.1914	-3.066577	-0.5868827	44.57	LOC105371427	replaced by ID 56957
1861	0.13461	0.00216	0.1122	3.0667295	0.3441999	509.51	TOR1A	torsin family 1 member A
105372725	0.13466	0.00217	0.3778	-3.0656328	-1.1580557	17.25	LOC105372725	uncharacterized LOC105372725
107987061	0.1349	0.00221	0.373	-3.0610467	-1.1417705	12.6	LOC107987061	uncharacterized LOC107987061
7352	0.1349	0.0022	0.1938	-3.061231	-0.593315	46.43	UCP3	uncoupling protein 3
10094	0.1349	0.0022	0.1378	3.0612836	0.4217785	1065.17	ARPC3	actin related protein 2/3 complex subunit 3
23005	0.1349	0.00219	0.125	-3.0633785	-0.3830748	1288.99	MAPKBP1	mitogen-activated protein kinase binding protein 1
101928215	0.1349	0.00219	0.3173	-3.0629543	-0.9718002	14.08	LOC101928215	uncharacterized LOC101928215
100506084	0.13525	0.00222	0.2727	-3.0588632	-0.8340048	289.96	ARL17B	ADP ribosylation factor like GTPase 17B
7454	0.13525	0.00222	0.2388	3.0586539	0.7304682	113.87	WAS	WASP actin nucleation promoting factor
80008	0.13586	0.00224	0.2937	3.0560177	0.8975206	81.5	TMEM156	transmembrane protein 156
105374890	0.13586	0.00226	0.2907	-3.0540551	-0.8878297	48.89	LOC105374890	uncharacterized LOC105374890
414059	0.13586	0.00226	0.2858	-3.0537548	-0.8728563	21.56	TBC1D3B	TBC1 domain family member 3B
105371922	0.13586	0.00226	0.3079	-3.0533272	-0.9400503	27.26	LOC105371922	uncharacterized LOC105371922
3689	0.13586	0.00225	0.332	3.0548121	1.0143073	485.88	ITGB2	integrin subunit beta 2
84070	0.13751	0.0023	0.234	-3.0489018	-0.7134839	63.26	FAM186B	family with sequence similarity 186 member B
9311	0.13869	0.00232	0.2446	-3.045433	-0.745064	188.82	ASIC3	acid sensing ion channel subunit 3
719	0.13869	0.00234	0.4304	3.0431876	1.309863	169.03	C3AR1	complement C3a receptor 1
101060321	0.13869	0.00233	0.2983	-3.0443383	-0.9081737	22.14	TBC1D3G	TBC1 domain family member 3G
10871	0.13869	0.00234	0.3529	3.043596	1.0741621	16.78	CD300C	CD300c molecule
1984	0.13949	0.00236	0.0979	3.0406636	0.2976472	1829.15	EIF5A	eukaryotic translation initiation factor 5A
5724	0.13991	0.00242	0.4275	3.0329586	1.2965943	228.09	PTAFR	platelet activating factor receptor
963	0.13991	0.00242	0.3386	3.0335465	1.0272878	315.51	CD53	CD53 molecule
107984112	0.13991	0.00241	0.3004	-3.0346726	-0.9116185	49.91	LOC107984112	uncharacterized LOC107984112
387263	0.13991	0.00242	0.1028	3.0330189	0.3117811	892.04	C6orf120	chromosome 6 open reading frame 120
